Rank,Puzzles,AMT (s),Solved rate,1-sigma Mean (s),1-sigma STD (s)
1,1 1 4 6,4.39,99.20%,4.66,1.47
2,1 1 11 11,4.42,99.60%,4.69,1.46
3,1 1 3 8,4.43,99.20%,4.69,1.48
4,1 1 1 8,4.46,98.90%,4.65,1.24
5,6 6 6 6,4.58,99.40%,4.82,1.48
6,1 1 2 12,4.62,99.20%,4.95,1.56
7,1 2 2 6,4.8,99.20%,5.16,1.61
8,1 1 10 12,4.81,99%,5.05,1.55
9,1 1 1 12,4.85,99.30%,5.18,1.62
10,2 2 10 10,4.86,98.20%,5.13,1.62
11,1 1 2 8,4.97,97.80%,5.31,1.74
12,1 1 4 8,4.99,98.20%,5.37,1.84
13,2 2 2 12,5,99.20%,5.35,1.69
14,1 1 5 8,5.01,96.40%,5.38,1.82
15,4 6 11 11,5.02,98.90%,5.4,1.73
16,1 1 3 12,5.03,97.30%,5.37,1.83
17,3 3 3 8,5.03,98.10%,5.4,1.78
18,1 1 4 12,5.04,97.50%,5.47,1.85
19,1 1 12 12,5.05,99.40%,5.42,1.66
20,1 1 2 6,5.08,98.50%,5.39,1.61
21,1 1 2 11,5.1,98.90%,5.41,1.7
22,11 11 12 12,5.11,98.80%,5.52,1.88
23,1 2 3 4,5.13,99.10%,5.47,1.82
24,1 1 13 13,5.14,99.40%,5.45,1.64
25,3 7 7 8,5.14,96.80%,5.52,1.92
26,1 1 3 6,5.18,97.80%,5.53,1.77
27,1 1 3 9,5.18,97%,5.53,1.86
28,1 2 4 12,5.18,97.70%,5.59,2
29,1 1 2 13,5.19,98.70%,5.49,1.79
30,1 1 5 6,5.19,96.90%,5.62,2.03
31,4 6 7 7,5.21,98.60%,5.55,1.84
32,7 7 12 12,5.21,98.60%,5.59,1.86
33,1 1 11 13,5.23,99.10%,5.66,1.83
34,4 6 13 13,5.24,98.80%,5.64,1.78
35,1 6 6 12,5.25,98.80%,5.58,1.71
36,12 12 12 12,5.25,99.30%,5.72,2.11
37,2 11 11 12,5.26,97.20%,5.67,1.98
38,4 4 4 6,5.26,98.20%,5.64,1.97
39,4 5 12 12,5.26,97%,5.61,1.79
40,1 1 1 11,5.27,97.30%,5.56,1.65
41,1 1 11 12,5.29,99.30%,5.67,1.78
42,2 7 7 12,5.29,98.70%,5.66,1.89
43,1 5 7 12,5.3,98.30%,5.87,2.11
44,1 8 8 8,5.31,97.80%,5.66,1.94
45,10 10 12 12,5.31,98.70%,5.73,1.89
46,2 2 3 8,5.32,98.20%,5.73,1.94
47,3 8 13 13,5.32,94.90%,5.68,2.06
48,11 11 11 12,5.33,94.90%,5.61,1.98
49,1 1 5 5,5.35,99.10%,5.71,1.8
50,2 9 9 12,5.36,97.50%,5.78,2.02
51,9 9 12 12,5.36,98.40%,5.84,2.1
52,3 3 12 12,5.38,98.80%,5.84,2.04
53,8 8 12 12,5.38,98.60%,5.82,1.96
54,3 8 11 11,5.39,96%,5.73,2.07
55,1 1 4 5,5.4,97.90%,5.78,2.01
56,1 6 8 12,5.4,96.90%,5.78,1.99
57,5 6 12 12,5.4,97.10%,5.79,1.8
58,11 12 12 12,5.4,97.70%,5.75,1.88
59,12 12 13 13,5.41,98.60%,5.8,1.91
60,1 1 12 13,5.42,98.80%,5.81,1.84
61,1 3 5 12,5.42,96.40%,5.79,2.1
62,5 5 12 12,5.43,98.70%,5.79,1.74
63,1 9 9 12,5.44,95.60%,5.72,1.77
64,3 4 4 8,5.45,98.30%,5.87,1.95
65,3 8 9 9,5.45,97%,5.82,1.97
66,3 8 10 10,5.46,95.60%,5.91,2.26
67,2 3 3 12,5.47,98.60%,5.93,2.05
68,2 5 5 12,5.47,98.70%,5.87,1.98
69,1 4 10 10,5.5,97.90%,5.91,2.09
70,2 12 13 13,5.5,97.30%,5.84,2
71,5 5 11 12,5.5,96.50%,5.88,1.88
72,7 7 11 12,5.5,93.70%,5.79,2.06
73,11 11 11 13,5.5,98.40%,6.06,2.25
74,1 1 3 7,5.52,96.90%,5.83,1.96
75,1 3 4 12,5.53,98.60%,5.96,1.96
76,1 2 5 8,5.54,95.70%,5.95,2.26
77,4 4 12 12,5.54,98.60%,5.96,2.05
78,2 2 4 6,5.55,99%,5.92,1.9
79,3 5 5 8,5.55,97%,5.93,2.05
80,1 8 9 12,5.56,96.40%,5.86,1.96
81,1 3 10 10,5.57,97.40%,5.87,1.99
82,6 7 12 12,5.57,95.70%,5.95,2.04
83,1 1 1 13,5.59,97.30%,5.91,1.78
84,1 4 7 12,5.59,98.30%,5.99,2.01
85,1 6 7 12,5.59,98.50%,6,1.99
86,2 3 12 12,5.59,97.40%,5.98,1.99
87,2 3 3 8,5.6,96.90%,5.96,1.95
88,1 3 3 4,5.62,97.60%,5.86,1.77
89,1 8 8 12,5.62,96.40%,5.91,1.89
90,1 1 4 7,5.63,97.20%,5.94,2.06
91,2 7 7 8,5.63,96.80%,5.94,1.99
92,8 8 11 13,5.63,97.10%,6.14,2.29
93,5 5 7 7,5.64,97.90%,5.98,1.9
94,3 7 8 8,5.65,96.10%,6.03,2.06
95,9 9 11 12,5.65,94%,5.99,2.14
96,4 6 6 6,5.66,98.30%,6.03,2.08
97,7 8 12 12,5.66,96.10%,6.1,2.12
98,1 1 10 13,5.67,98%,6.1,2.2
99,1 1 2 10,5.68,95.70%,5.97,1.83
100,1 2 5 12,5.68,95.50%,6.13,2.2
101,4 4 11 13,5.68,98%,6.27,2.34
102,1 6 9 12,5.69,95.50%,6.06,2.13
103,1 7 9 12,5.69,96%,6.09,2.23
104,4 5 5 6,5.69,97.40%,6.11,2.12
105,4 5 11 12,5.69,97.40%,6.09,2.11
106,1 6 6 11,5.71,98.20%,6.19,2.25
107,1 7 7 10,5.71,97.90%,6.16,2.15
108,2 2 12 12,5.71,98.70%,6.23,2.25
109,3 3 4 6,5.71,97.80%,6.13,2.1
110,1 2 2 10,5.72,96.50%,6.06,2.11
111,2 2 2 3,5.72,99%,5.97,1.71
112,3 7 7 7,5.72,97.50%,6.04,2.01
113,4 8 11 11,5.72,95.20%,6.04,1.98
114,3 3 11 12,5.73,94.70%,6.12,2.21
115,3 8 8 8,5.74,97.50%,6.11,2.14
116,12 12 12 13,5.74,97.50%,6.08,1.97
117,1 2 2 12,5.75,97.80%,6.1,1.98
118,3 6 11 11,5.75,94.40%,6.04,2.09
119,4 4 11 12,5.75,91.90%,6.09,2.36
120,2 8 9 9,5.77,96.40%,6.17,2.12
121,2 2 3 12,5.78,98.10%,6.2,2.04
122,6 6 12 12,5.79,98.40%,6.33,2.36
123,8 9 12 12,5.79,96.20%,6.27,2.24
124,4 6 9 9,5.8,96.30%,6.19,2.24
125,6 6 11 13,5.8,97.80%,6.3,2.23
126,1 4 4 12,5.81,95.70%,6.3,2.33
127,1 5 6 12,5.81,98.50%,6.2,2.08
128,3 4 4 6,5.81,97.40%,6.14,1.96
129,1 4 6 12,5.82,96.60%,6.26,2.44
130,7 7 11 13,5.82,97.60%,6.35,2.31
131,9 9 11 13,5.82,96.80%,6.38,2.41
132,1 5 8 8,5.83,94.80%,6.38,2.68
133,3 8 12 13,5.83,96%,6.2,2.18
134,1 8 10 12,5.84,95.50%,6.17,2.17
135,4 6 6 7,5.86,96.50%,6.22,2.08
136,11 13 13 13,5.86,97.80%,6.44,2.45
137,2 4 4 12,5.87,98.40%,6.25,2.14
138,5 6 11 12,5.89,97.30%,6.36,2.23
139,3 4 11 13,5.9,96.40%,6.37,2.36
140,3 6 7 7,5.9,93.30%,6.27,2.36
141,4 6 8 8,5.9,96.80%,6.35,2.25
142,1 3 6 12,5.91,96.80%,6.3,2.21
143,1 4 5 12,5.91,95.80%,6.34,2.32
144,1 4 8 12,5.91,97.60%,6.27,2.19
145,2 4 11 11,5.91,96.20%,6.35,2.35
146,2 10 10 12,5.91,97.10%,6.28,2.29
147,6 6 10 13,5.91,93.80%,6.42,2.66
148,3 8 10 11,5.92,94.50%,6.28,2.36
149,1 3 3 12,5.93,95.40%,6.35,2.32
150,1 12 13 13,5.93,94.30%,6.25,2.15
151,4 6 10 11,5.93,94.50%,6.34,2.39
152,10 10 11 13,5.94,97.70%,6.5,2.34
153,10 11 12 12,5.94,95.90%,6.29,2.06
154,1 1 3 13,5.95,95.10%,6.34,2.12
155,1 11 11 12,5.95,93.50%,6.18,2.22
156,2 8 8 12,5.95,97.50%,6.5,2.46
157,3 6 6 8,5.95,97.10%,6.35,2.24
158,3 6 13 13,5.95,94.50%,6.19,1.98
159,4 5 12 13,5.95,97.70%,6.46,2.16
160,4 8 10 10,5.95,97.40%,6.36,2.16
161,1 2 11 11,5.97,97.30%,6.46,2.43
162,1 7 8 10,5.98,97.60%,6.41,2.29
163,3 7 10 10,5.98,97.30%,6.38,2.21
164,4 6 10 10,5.98,96.50%,6.36,2.37
165,5 5 5 5,5.98,95.20%,6.4,2.17
166,1 6 12 12,5.99,94.50%,6.38,2.42
167,2 8 10 10,5.99,95.40%,6.3,2.06
168,9 10 12 12,5.99,95.80%,6.28,2.03
169,1 2 4 4,6,97%,6.34,2.14
170,1 2 6 6,6,97.50%,6.42,2.24
171,1 2 6 12,6,96.90%,6.38,2.23
172,1 3 6 8,6,95.60%,6.42,2.55
173,1 5 7 11,6.01,98.50%,6.48,2.14
174,1 6 7 10,6.01,98.50%,6.57,2.28
175,1 7 8 9,6.01,97.20%,6.43,2.28
176,4 5 5 5,6.01,97.50%,6.56,2.41
177,1 10 10 12,6.02,92.40%,6.23,2.09
178,4 8 13 13,6.02,94.60%,6.26,1.91
179,1 5 8 12,6.03,98.30%,6.5,2.2
180,1 2 10 12,6.04,97.40%,6.55,2.4
181,2 2 11 13,6.04,98%,6.59,2.42
182,3 9 9 9,6.05,97.60%,6.49,2.16
183,1 1 4 4,6.06,94.50%,6.34,2.43
184,1 2 4 8,6.06,96.60%,6.46,2.31
185,3 4 12 12,6.06,94.60%,6.53,2.48
186,1 1 6 6,6.07,97.20%,6.48,2.19
187,3 8 12 12,6.07,96.60%,6.51,2.48
188,1 3 9 12,6.09,96.30%,6.51,2.37
189,3 3 11 13,6.09,97%,6.62,2.5
190,1 2 6 8,6.1,96%,6.44,2.35
191,4 7 7 8,6.1,93.90%,6.58,2.53
192,1 1 3 4,6.11,98.10%,6.44,2.06
193,1 6 8 9,6.11,98.20%,6.54,2.36
194,2 2 11 12,6.11,92.50%,6.5,2.55
195,5 6 12 13,6.11,97.50%,6.52,2.18
196,1 1 9 13,6.12,97.30%,6.56,2.51
197,3 3 4 8,6.12,96.30%,6.45,2.15
198,2 11 12 12,6.13,95.40%,6.52,2.28
199,3 8 11 12,6.13,94.30%,6.64,2.68
200,1 7 8 8,6.14,96.70%,6.65,2.65
201,2 8 13 13,6.14,90.30%,6.44,2.59
202,1 7 7 12,6.15,89.10%,6.3,2.34
203,1 2 3 10,6.16,98.40%,6.48,2
204,1 5 7 13,6.16,97.90%,6.54,2.08
205,2 11 11 11,6.16,89.90%,6.27,2.5
206,10 13 13 13,6.16,93.40%,6.62,2.81
207,1 5 5 12,6.17,90.50%,6.38,2.34
208,2 3 11 12,6.17,94.90%,6.74,2.75
209,3 3 3 12,6.17,96.90%,6.63,2.45
210,5 5 11 13,6.17,96.20%,6.77,2.53
211,5 5 12 13,6.17,95.50%,6.64,2.17
212,1 2 3 8,6.18,97%,6.59,2.36
213,2 13 13 13,6.18,91%,6.37,2.37
214,1 4 7 8,6.2,96.70%,6.71,2.71
215,3 3 3 6,6.2,97.70%,6.75,2.6
216,8 8 11 12,6.2,90.70%,6.55,2.66
217,10 10 11 12,6.2,93.40%,6.55,2.3
218,11 12 13 13,6.2,95.20%,6.67,2.43
219,4 7 12 12,6.21,88.60%,6.62,2.94
220,5 5 5 6,6.21,96.10%,6.66,2.31
221,1 2 2 8,6.22,93.40%,6.68,2.64
222,1 10 12 12,6.22,95.90%,6.82,2.89
223,1 8 10 13,6.23,94.90%,6.57,2.4
224,1 2 13 13,6.25,97.20%,6.96,2.71
225,1 4 6 8,6.25,94.60%,6.62,2.55
226,2 2 4 5,6.25,98.30%,6.62,2.1
227,1 4 8 8,6.26,96.50%,6.73,2.48
228,1 5 10 10,6.26,97.30%,6.65,2.3
229,1 1 5 7,6.27,96.50%,6.59,2.11
230,1 2 3 12,6.27,96.30%,6.81,2.53
231,3 11 11 12,6.27,91.20%,6.47,2.18
232,4 4 10 13,6.27,93.50%,6.75,2.8
233,4 6 12 13,6.27,93.80%,6.79,2.86
234,7 7 12 13,6.27,93.80%,6.69,2.37
235,1 3 11 11,6.28,97.30%,6.69,2.42
236,2 7 8 12,6.3,95%,6.75,2.56
237,6 7 11 12,6.3,96.90%,6.85,2.6
238,7 9 11 11,6.3,95.70%,6.78,2.65
239,4 4 5 6,6.31,95.80%,6.61,2.25
240,1 4 12 12,6.32,91.30%,6.57,2.49
241,2 2 2 8,6.33,96.50%,6.89,2.73
242,2 12 12 13,6.33,95.60%,6.73,2.38
